dtr,model,view,presenter[,tripco for the team of four]
01,nickwalt95,Dumamax,tking2096
02,ncain,nerfed,tworcsu
03,dlaw08,joshhullings,methefish
04,KTM25,cdicesare,Alansor
05,Duratothemaxx,mejarrett,ajthomps
06,BrandtRobert,bpowley,schulzecb
07,sswensen,chundrus,jzuniga77
08,jkraftcsu,TheNewell,spencerlofing
09,AlexAlbright,collinkinchen,dmaddenco
10,cTre19,bahashmi,bobby2018
11,SteelHeart13,mepsheehan,bobfromholland
12,TheChemtrail,ydooWoody,cjuracek
13,KeLai,luke0zong,CurtisWebb3
14,GrEedWish,tjohns0n,bcgdwn
15,jfmccoy,rpfredericks,benmertz
16,ZacFinely,mattring,tjnolan24
17,Salmanius,Benascor,mjdunn7
18,PaulTrapp,pbrunner,dkadillak
19,woster,mblaisus,amkreien
20,JAGCSU,StaticNomad,nickowilson2
21,kdmnance,ALHennings,etyree
22,cathoderaymission,KevClipp12,jcole719
23,teamfor10,mmkala,skorrico
24,ColtonTapparo,PigmyPeople,hunterv
25,wbrown64,athai0335,ashellum,Korsam
26,stevenc0211,jdcao,zachgood
27,arpellerito,dlennox24,gtjohnso
28,,,
29,anthonysuper,googlebot42,Nick-Lane
30,ekdoan,kelseycribari,lsouth
